state,abb,year,price
Arizona,AZ,1987,0
California,CA,1987,56.48722222
Colorado,CO,1987,50.24666667
District of Columbia,DC,1987,69.0275
Florida,FL,1987,74.22416667
Georgia,GA,1987,0
Illinois,IL,1987,56.95083333
Massachusetts,MA,1987,72.51
Michigan,MI,1987,0
Minnesota,MN,1987,0
North Carolina,NC,1987,65.53333333
New York,NY,1987,80.36833333
Nevada,NV,1987,66.61083333
Ohio,OH,1987,55.18583333
Oregon,OR,1987,41.4975
Texas,TX,1987,0
Washington,WA,1987,0
Arizona,AZ,1988,0
California,CA,1988,65.90083333
Colorado,CO,1988,48.4375
District of Columbia,DC,1988,80.10916667
Florida,FL,1988,77.05375
Georgia,GA,1988,0
Illinois,IL,1988,66.3175
Massachusetts,MA,1988,74.71333333
Michigan,MI,1988,0
Minnesota,MN,1988,0
North Carolina,NC,1988,68.70416667
New York,NY,1988,84.51916667
Nevada,NV,1988,67.5775
Ohio,OH,1988,59.04916667
Oregon,OR,1988,42.91916667
Texas,TX,1988,0
Washington,WA,1988,0
Arizona,AZ,1989,67.29
California,CA,1989,80.63333333
Colorado,CO,1989,47.65833333
District of Columbia,DC,1989,90.33833333
Florida,FL,1989,79.76291667
Georgia,GA,1989,0
Illinois,IL,1989,69.975
Massachusetts,MA,1989,74.12166667
Michigan,MI,1989,0
Minnesota,MN,1989,63.625
North Carolina,NC,1989,71.34416667
New York,NY,1989,82.78583333
Nevada,NV,1989,71.65583333
Ohio,OH,1989,63.30666667
Oregon,OR,1989,46.24
Texas,TX,1989,0
Washington,WA,1989,0
Arizona,AZ,1990,66.26083333
California,CA,1990,86.06138889
Colorado,CO,1990,48.57333333
District of Columbia,DC,1990,92.38666667
Florida,FL,1990,80.98375
Georgia,GA,1990,0
Illinois,IL,1990,70.115
Massachusetts,MA,1990,69.88416667
Michigan,MI,1990,0
Minnesota,MN,1990,64.33416667
North Carolina,NC,1990,73.57166667
New York,NY,1990,78.475
Nevada,NV,1990,78.96166667
Ohio,OH,1990,67.47833333
Oregon,OR,1990,53.8
Texas,TX,1990,0
Washington,WA,1990,65.53
Arizona,AZ,1991,65.3375
California,CA,1991,82.19694444
Colorado,CO,1991,50.03416667
District of Columbia,DC,1991,88.7
Florida,FL,1991,80.26166667
Georgia,GA,1991,69.8575
Illinois,IL,1991,71.64666667
Massachusetts,MA,1991,64.22583333
Michigan,MI,1991,58.8925
Minnesota,MN,1991,65.12916667
North Carolina,NC,1991,73.37
New York,NY,1991,74.0425
Nevada,NV,1991,82.61083333
Ohio,OH,1991,70.16166667
Oregon,OR,1991,59.24166667
Texas,TX,1991,0
Washington,WA,1991,65.9725
Arizona,AZ,1992,66.2225
California,CA,1992,79.545
Colorado,CO,1992,53.9275
District of Columbia,DC,1992,88.63583333
Florida,FL,1992,79.95791667
Georgia,GA,1992,70.74083333
Illinois,IL,1992,74.52333333
Massachusetts,MA,1992,64.01416667
Michigan,MI,1992,60.7475
Minnesota,MN,1992,67.18916667
North Carolina,NC,1992,73.905
New York,NY,1992,75.05666667
Nevada,NV,1992,82.97166667
Ohio,OH,1992,73.00333333
Oregon,OR,1992,62.95083333
Texas,TX,1992,0
Washington,WA,1992,67.135
Arizona,AZ,1993,68.29666667
California,CA,1993,74.58194444
Colorado,CO,1993,58.7875
District of Columbia,DC,1993,88.8675
Florida,FL,1993,81.97416667
Georgia,GA,1993,72.88333333
Illinois,IL,1993,77.27083333
Massachusetts,MA,1993,65.42333333
Michigan,MI,1993,62.81166667
Minnesota,MN,1993,69.615
North Carolina,NC,1993,75.31083333
New York,NY,1993,76.25833333
Nevada,NV,1993,82.77083333
Ohio,OH,1993,76.01
Oregon,OR,1993,67.74583333
Texas,TX,1993,0
Washington,WA,1993,68.5225
Arizona,AZ,1994,72.75583333
California,CA,1994,72.75694444
Colorado,CO,1994,65.495
District of Columbia,DC,1994,89.76833333
Florida,FL,1994,84.90625
Georgia,GA,1994,76.27666667
Illinois,IL,1994,80.81833333
Massachusetts,MA,1994,68.05
Michigan,MI,1994,66.17
Minnesota,MN,1994,72.84666667
North Carolina,NC,1994,78.5725
New York,NY,1994,77.91166667
Nevada,NV,1994,85.50166667
Ohio,OH,1994,79.89666667
Oregon,OR,1994,74.03166667
Texas,TX,1994,0
Washington,WA,1994,71.23
Arizona,AZ,1995,76.90833333
California,CA,1995,71.51555556
Colorado,CO,1995,69.74833333
District of Columbia,DC,1995,88.96166667
Florida,FL,1995,86.755
Georgia,GA,1995,79.14333333
Illinois,IL,1995,82.8575
Massachusetts,MA,1995,69.56666667
Michigan,MI,1995,71.19
Minnesota,MN,1995,75.35
North Carolina,NC,1995,82.8375
New York,NY,1995,78.57416667
Nevada,NV,1995,88.24083333
Ohio,OH,1995,83.0825
Oregon,OR,1995,79.77
Texas,TX,1995,0
Washington,WA,1995,72.24166667
Arizona,AZ,1996,81.0825
California,CA,1996,71.14527778
Colorado,CO,1996,73.405
District of Columbia,DC,1996,88.73916667
